File Name,File Path,Last Modified,IsProd,Revision,Part Number
FLX_ABT_0125_V1.1_RevB.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_0125_V1.1_RevB.x_t,2024-07-16 11:51:35,1,B,FLX_ABT_0125_V1_1
FLX_ABT_0126_V1.1_RevB.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_0126_V1.1_RevB.x_t,2024-07-16 11:51:32,1,B,FLX_ABT_0126_V1_1
FLX_ABT_0154_V1.1_RevB.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_0154_V1.1_RevB.x_t,2024-07-16 11:51:29,1,B,FLX_ABT_0154_V1_1
MirrorFLX_ABT_0155_V1.1_RevB.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\MirrorFLX_ABT_0155_V1.1_RevB.x_t,2024-07-16 11:51:26,1,B,MirrorFLX_ABT_0155_V1_1
FLX_ABT_0155_V1.1_RevB.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_0155_V1.1_RevB.x_t,2024-07-16 11:51:23,1,B,FLX_ABT_0155_V1_1
FLX_ABT_0124_V1.1_RevB.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_0124_V1.1_RevB.x_t,2024-07-16 11:51:02,1,B,FLX_ABT_0124_V1_1
MirrorFLX_ABT_0150_V1.1_RevB.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\MirrorFLX_ABT_0150_V1.1_RevB.x_t,2024-07-16 11:50:58,1,B,MirrorFLX_ABT_0150_V1_1
MirrorFLX_ABT_0161_V1.2_RevB.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\MirrorFLX_ABT_0161_V1.2_RevB.x_t,2024-07-16 11:50:53,1,B,MirrorFLX_ABT_0161_V1_2
FLX_ABT_0150_V1.1_RevB.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_0150_V1.1_RevB.x_t,2024-07-16 11:50:49,1,B,FLX_ABT_0150_V1_1
FLX_ABT_0161_V1.2_RevB.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_0161_V1.2_RevB.x_t,2024-07-16 11:50:43,1,B,FLX_ABT_0161_V1_2
FLX_ABT_0164_RevB.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_0164_RevB.x_t,2024-07-16 11:50:38,1,B,FLX_ABT_0164
FLX_ABT_0162_V1.1_RevB.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_0162_V1.1_RevB.x_t,2024-07-16 11:50:33,1,B,FLX_ABT_0162_V1_1
FLX_ABT_0163_RevB.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_0163_RevB.x_t,2024-07-16 11:50:29,1,B,FLX_ABT_0163
FLX_ABT_05_V04_RevD.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_05_V04_RevD.x_t,2024-07-16 11:50:24,1,D,FLX_ABT_05_V04
FLX_ABT_04_V04_RevD.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_04_V04_RevD.x_t,2024-07-16 11:50:17,1,D,FLX_ABT_04_V04
FLX_ABT_0160_RevC.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_0160_RevC.x_t,2024-07-16 11:50:10,1,C,FLX_ABT_0160
FLX_ABT_0159_RevC.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_0159_RevC.x_t,2024-07-16 11:50:06,1,C,FLX_ABT_0159
FLX_ABT_0158_RevF.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_0158_RevF.x_t,2024-07-16 11:50:00,1,F,FLX_ABT_0158
FLX_ABT_0157_RevB.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_0157_RevB.x_t,2024-07-16 11:49:55,1,B,FLX_ABT_0157
FLX_ABT_0156_RevB.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_0156_RevB.x_t,2024-07-16 11:49:50,1,B,FLX_ABT_0156
FLX_ABT_0143_RevF.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_0143_RevF.x_t,2024-07-16 11:49:37,1,F,FLX_ABT_0143
FLX_ABT_0128_RevB.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_0128_RevB.x_t,2024-07-16 11:49:33,1,B,FLX_ABT_0128
FLX_ABT_00_V04_RevG.x_t,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_00_V04_RevG.x_t,2024-07-16 11:49:28,1,G,FLX_ABT_00_V04
FLX_ABT_0170_RevB.pdf,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\FLX_ABT_0170_RevB.pdf,2024-07-16 12:00:14,1,B,FLX_ABT_0170
MirrorFLX_ABT_0161_V1.2_RevB.pdf,C:\PDM\Projects\Flexsis - FLX\AMBIENT HIVE - ABT\ABT_V04\Production Files\MirrorFLX_ABT_0161_V1.2_RevB.pdf,2024-07-16 12:00:06,1,B,MirrorFLX_ABT_0161_V1_2
