File Name,File Path,Last Modified,IsProd,Revision,Part Number
P0070-0117-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0117-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0117-00_RevA.x_t
P0070-0116-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0116-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0116-00_RevA.x_t
P0070-0115-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0115-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0115-00_RevA.x_t
P0070-0111-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0111-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0111-00_RevA.x_t
P0070-0110-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0110-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0110-00_RevA.x_t
A0070-0041-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0041-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0041-00_RevA.x_t
P0070-0109-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0109-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0109-00_RevA.x_t
P0070-0108-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0108-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0108-00_RevA.x_t
P0070-0106-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0106-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0106-00_RevA.x_t
A0070-0040-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0040-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0040-00_RevA.x_t
P0070-0105-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0105-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0105-00_RevA.x_t
A0070-0039-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0039-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0039-00_RevA.x_t
P0070-0104-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0104-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0104-00_RevA.x_t
P0070-0103-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0103-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0103-00_RevA.x_t
A0070-0038-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0038-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0038-00_RevA.x_t
P0070-0102-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0102-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0102-00_RevA.x_t
P0070-0101-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0101-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0101-00_RevA.x_t
A0070-0036-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0036-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0036-00_RevA.x_t
P0070-0100-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0100-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0100-00_RevA.x_t
P0070-0099-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0099-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0099-00_RevA.x_t
P0070-0098-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0098-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0098-00_RevA.x_t
A0070-0035-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\A0070-0035-00_RevA.x_t,0001-01-01 00:00:00,0,,A0070-0035-00_RevA.x_t
P0070-0097-00_RevA.x_t,C:\PDM\Projects\APEX - APX\CAD\Production Files\P0070-0097-00_RevA.x_t,0001-01-01 00:00:00,0,,P0070-0097-00_RevA.x_t
